datetime,open,high,low,close,volume,openinterest
2020-11-11,66.34,67.84,64.93,64.95,4008541,0
2020-11-12,64.68,65.69,64.19,64.50,2130675,0
2020-11-13,64.50,66.77,63.76,65.73,4371634,0
2020-11-16,65.73,65.85,64.83,65.22,2524865,0
2020-11-17,65.13,66.46,63.60,65.71,3889443,0
2020-11-18,66.10,67.10,65.20,66.40,3699330,0
2020-11-19,65.95,66.34,65.11,66.06,1618099,0
2020-11-20,65.91,66.65,65.48,65.81,1387551,0
2020-11-23,65.63,65.63,64.46,64.89,3450700,0
2020-11-24,64.46,65.46,63.68,63.93,2938896,0
2020-11-25,64.46,64.50,63.35,63.76,2245363,0
2020-11-26,64.44,64.77,63.56,63.82,2272084,0
2020-11-27,63.78,64.77,63.50,64.36,1725878,0
2020-11-30,64.17,66.01,63.93,65.15,3191303,0
2020-12-01,64.89,66.28,64.89,65.93,2261381,0
2020-12-02,66.24,67.24,65.50,66.44,3568224,0
2020-12-03,66.57,66.87,65.63,65.75,1850877,0
2020-12-04,65.99,67.00,65.54,66.32,3747007,0
2020-12-07,67.14,67.39,65.50,65.89,2600512,0
2020-12-08,65.63,66.57,65.38,65.83,2951956,0
2020-12-09,66.01,66.16,61.35,61.65,8329829,0
2020-12-10,61.39,63.05,61.06,61.53,4139690,0
2020-12-11,61.57,62.02,59.59,61.10,5098603,0
2020-12-14,61.27,61.80,59.93,61.16,5400691,0
2020-12-15,61.14,61.14,60.00,60.39,4082216,0
2020-12-16,60.71,60.90,59.63,59.77,3607375,0
