trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2021-03-18,000612.SZ,11.01,11.2,9.93,10.13,10.66,-0.53,-4.9719,2420284.91,2576837.836
2021-03-19,000612.SZ,9.8,10.95,9.7,10.53,10.13,0.4,3.9487,2459890.47,2535720.131
2021-03-22,000612.SZ,10.25,10.88,10.07,10.55,10.53,0.02,0.1899,2272484.38,2379685.125
2021-03-23,000612.SZ,10.38,10.5,9.5,9.5,10.55,-1.05,-9.9526,1507500.62,1465355.1
2021-03-24,000612.SZ,8.9,8.97,8.55,8.55,9.5,-0.95,-10.0,1184819.26,1024126.975
2021-03-25,000612.SZ,8.43,8.64,8.26,8.3,8.55,-0.25,-2.924,1159257.75,977024.196
2021-03-26,000612.SZ,8.3,8.62,8.22,8.55,8.3,0.25,3.012,1122305.63,943906.326
2021-03-29,000612.SZ,8.5,8.65,8.33,8.47,8.55,-0.08,-0.9357,989296.7,841359.455
2021-03-30,000612.SZ,8.33,8.68,8.12,8.49,8.47,0.02,0.2361,1189540.94,998819.626
2021-03-31,000612.SZ,8.3,8.46,8.2,8.32,8.49,-0.17,-2.0024,648244.06,537804.269
2021-04-01,000612.SZ,8.33,8.35,7.83,8.18,8.32,-0.14,-1.6827,1058955.74,856068.774
2021-04-02,000612.SZ,8.19,8.21,7.95,8.07,8.18,-0.11,-1.3447,612344.25,495505.822
2021-04-06,000612.SZ,8.1,8.2,8.06,8.1,8.07,0.03,0.3717,485802.45,394301.368
2021-04-07,000612.SZ,8.04,8.34,7.92,8.34,8.1,0.24,2.963,883081.16,722170.431
2021-04-08,000612.SZ,8.26,9.05,8.19,8.6,8.34,0.26,3.1175,1488567.99,1275884.34
2021-04-09,000612.SZ,8.54,8.69,8.33,8.44,8.6,-0.16,-1.8605,871500.64,739188.307
2021-04-12,000612.SZ,8.46,8.46,8.01,8.07,8.44,-0.37,-4.3839,691511.07,566977.377
2021-04-13,000612.SZ,8.03,8.17,7.9,8.14,8.07,0.07,0.8674,459022.25,370117.187
2021-04-14,000612.SZ,8.26,8.29,8.06,8.16,8.14,0.02,0.2457,427606.68,348443.65
2021-04-15,000612.SZ,8.18,8.64,8.14,8.51,8.16,0.35,4.2892,910953.26,763827.486
2021-04-16,000612.SZ,8.47,8.52,8.3,8.32,8.51,-0.19,-2.2327,681141.15,571414.044
2021-04-19,000612.SZ,8.25,8.48,8.16,8.44,8.32,0.12,1.4423,576808.01,482833.065
2021-04-20,000612.SZ,8.36,8.74,8.25,8.51,8.44,0.07,0.8294,919785.84,780366.253
2021-04-21,000612.SZ,8.28,8.36,8.19,8.21,8.46,-0.25,-2.9551,605186.98,499578.822
2021-04-22,000612.SZ,8.3,8.53,8.29,8.31,8.21,0.1,1.218,625146.4,523809.107
2021-04-23,000612.SZ,8.31,8.37,8.15,8.28,8.31,-0.03,-0.361,512440.71,422709.439
2021-04-26,000612.SZ,8.3,8.66,8.24,8.39,8.28,0.11,1.3285,883046.88,747488.708
2021-04-27,000612.SZ,8.45,8.59,8.36,8.53,8.39,0.14,1.6687,667624.73,565429.2
