ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399997.SZ,20160919,3140.326,3116.309,3140.519,3116.309,3110.74,29.586,0.9511,571959.97,1921625.937
399997.SZ,20160920,3118.902,3139.537,3142.117,3116.404,3140.326,-21.424,-0.6822,479996.04,2245216.007
399997.SZ,20160921,3119.13,3121.371,3125.737,3102.927,3118.902,0.228,0.0073,498486.3,2329026.63
399997.SZ,20160922,3167.706,3131.697,3179.162,3127.592,3119.13,48.576,1.5574,933137.9,3412165.351
399997.SZ,20160923,3159.954,3169.111,3172.751,3146.393,3167.706,-7.752,-0.2447,687386.1,2169240.578
399997.SZ,20160926,3073.536,3149.943,3151.857,3073.099,3159.954,-86.418,-2.7348,954436.06,3391848.558
399997.SZ,20160927,3103.32,3072.709,3104.946,3071.67,3073.536,29.784,0.969,519364.98,1816126.632
399997.SZ,20160928,3087.447,3112.634,3112.634,3084.255,3103.32,-15.873,-0.5115,406632.27,1610031.824
399997.SZ,20160929,3106.059,3087.992,3120.694,3087.938,3087.447,18.612,0.6028,560560.42,2077495.027
399997.SZ,20160930,3166.099,3098.063,3186.455,3096.806,3106.059,60.04,1.933,907117.52,3269895.694
399997.SZ,20161010,3217.512,3178.121,3217.514,3176.669,3166.099,51.413,1.6239,886815.3,3037851.473
399997.SZ,20161011,3227.303,3218.666,3227.748,3211.386,3217.512,9.791,0.3043,859846.75,3461973.562
399997.SZ,20161012,3218.347,3219.963,3234.951,3209.357,3227.303,-8.956,-0.2775,723759.11,2508342.603
399997.SZ,20161013,3195.61,3218.645,3230.72,3193.515,3218.347,-22.737,-0.7065,678794.17,2294084.485
399997.SZ,20161014,3199.648,3189.527,3202.177,3186.322,3195.61,4.038,0.1264,504038.47,1671156.255
399997.SZ,20161017,3200.565,3202.256,3236.42,3191.357,3199.648,0.917,0.0287,880750.79,2846388.076
399997.SZ,20161018,3274.821,3199.98,3275.098,3199.98,3200.565,74.256,2.3201,1469025.77,4518711.375
399997.SZ,20161019,3276.713,3278.521,3279.64,3257.652,3274.821,1.892,0.0578,936247.43,2866262.45
399997.SZ,20161020,3260.552,3274.767,3287.16,3258.619,3276.713,-16.161,-0.4932,673261.06,2216412.046
399997.SZ,20161021,3244.413,3261.165,3263.005,3221.522,3260.552,-16.139,-0.495,724781.27,2187381.322
399997.SZ,20161024,3263.355,3240.907,3267.223,3235.045,3244.413,18.942,0.5838,766266.37,2747072.975
399997.SZ,20161025,3351.15,3262.466,3351.576,3262.466,3263.355,87.795,2.6903,1535525.24,5515044.743
399997.SZ,20161026,3413.139,3344.893,3505.434,3342.183,3351.15,61.989,1.8498,2986275.52,9035959.632
399997.SZ,20161027,3404.324,3400.688,3415.816,3371.16,3413.139,-8.815,-0.2583,1316090.31,4404289.694
399997.SZ,20161028,3403.291,3397.133,3432.641,3385.705,3404.324,-1.033,-0.0303,1237612.01,4114012.457
399997.SZ,20161031,3385.642,3393.319,3413.825,3364.972,3403.291,-17.649,-0.5186,901819,3689242.3
399997.SZ,20161101,3430.887,3386.038,3431.43,3366.889,3385.642,45.245,1.3364,1017506,3212957.1
399997.SZ,20161102,3375.609,3421.876,3421.876,3373.482,3430.887,-55.278,-1.6112,844056,2750518.2
399997.SZ,20161103,3387.699,3361.77,3398.033,3359.208,3375.609,12.09,0.3582,791779,2589398.4
399997.SZ,20161104,3344.558,3384.323,3399.516,3331.809,3387.699,-43.141,-1.2735,777110,2707873.4
399997.SZ,20161107,3340.066,3344.857,3359.652,3327.957,3344.558,-4.492,-0.1343,687783,2319300.2
399997.SZ,20161108,3393.613,3352.798,3412.144,3349.228,3340.066,53.547,1.6032,1016171,3775040.9
399997.SZ,20161109,3365.937,3393.751,3397.625,3322.709,3393.613,-27.676,-0.8155,911294,3323429.2
399997.SZ,20161110,3400.07,3392.549,3404.737,3383.652,3365.937,34.133,1.0141,900819,2858621.4
399997.SZ,20161111,3379.974,3399.173,3399.526,3364.474,3400.07,-20.096,-0.591,1003481,3666347.8
399997.SZ,20161114,3357.927,3375.83,3381.455,3339.228,3379.974,-22.047,-0.6523,1272868,4498768.9
399997.SZ,20161115,3399.732,3353.347,3406.334,3348.531,3357.927,41.805,1.245,1299514,3719758.6
399997.SZ,20161116,3369.887,3394.605,3394.605,3365.029,3399.732,-29.845,-0.8779,797922,2330554.2
399997.SZ,20161117,3350.216,3361.069,3374.901,3341.894,3369.887,-19.671,-0.5837,658950,2245457.1
399997.SZ,20161118,3332.834,3347.111,3351.052,3328.975,3350.216,-17.382,-0.5188,599686,2114088.7
399997.SZ,20161121,3329.631,3338.638,3351.439,3323.51,3332.834,-3.203,-0.0961,706506,2548474.2
399997.SZ,20161122,3337.987,3333.221,3338.368,3325.819,3329.631,8.356,0.251,849335,2904857.4
399997.SZ,20161123,3386.694,3349.327,3387.248,3345.079,3337.987,48.707,1.4592,1220358,4517837.9
399997.SZ,20161124,3393.216,3382.634,3403.136,3362.06,3386.694,6.522,0.1926,1204559,4550972
399997.SZ,20161125,3384.25,3391.747,3402.765,3347.148,3393.216,-8.966,-0.2642,785236,2786045.7
399997.SZ,20161128,3393.675,3405.818,3434.032,3386.015,3384.25,9.425,0.2785,1011857,4515306.9
399997.SZ,20161129,3458.101,3393.369,3503.031,3389.043,3393.675,64.426,1.8984,2021805,8037211.3
399997.SZ,20161130,3398.359,3440.03,3444.781,3391.34,3458.101,-59.742,-1.7276,1237218,4392128
399997.SZ,20161201,3400.773,3404.232,3438.519,3382.122,3398.359,2.414,0.071,979519,3803136.5
399997.SZ,20161202,3367.313,3398.944,3411.006,3361.122,3400.773,-33.46,-0.9839,848589,3285095.8
399997.SZ,20161205,3347.861,3338.74,3405.621,3335.396,3367.313,-19.452,-0.5777,789047,3618039.1
399997.SZ,20161206,3400.408,3348.511,3400.902,3348.511,3347.861,52.547,1.5696,718174,3424868.9
399997.SZ,20161207,3403.155,3411.955,3417.506,3379.825,3400.408,2.747,0.0808,564817,2519952.8
399997.SZ,20161208,3459.973,3408.055,3519.894,3400.845,3403.155,56.818,1.6696,1470768,6149118.2
399997.SZ,20161209,3465.207,3455.999,3488.332,3449.275,3459.973,5.234,0.1513,941429,3840738.8
399997.SZ,20161212,3342.953,3476.217,3501.633,3340.899,3465.207,-122.254,-3.528,1699422,6131218.4
399997.SZ,20161213,3441.31,3337.101,3446.294,3332.787,3342.953,98.357,2.9422,1723125,5881861.1
399997.SZ,20161214,3421.562,3436.274,3459.677,3416.82,3441.31,-19.748,-0.5739,1649348,5366839
399997.SZ,20161215,3391.141,3421.906,3441.08,3361.353,3421.562,-30.421,-0.8891,1351631,4945277.4
399997.SZ,20161216,3384.945,3383.684,3394.695,3362.714,3391.141,-6.196,-0.1827,933945,3199130.4
399997.SZ,20161219,3418.274,3377.8807,3450.595,3377.8807,3384.9454,33.3286,0.9846,1269960,4533191.4
399997.SZ,20161220,3383.5984,3408.9065,3410.4991,3374.7192,3418.274,-34.6756,-1.0144,955026,3494043.8
399997.SZ,20161221,3396.7234,3386.635,3402.7757,3382.5873,3383.5984,13.125,0.3879,849635,2946545.7
399997.SZ,20161222,3357.1979,3390.1332,3394.1314,3350.5306,3396.7234,-39.5255,-1.1636,759026,2389452.5
399997.SZ,20161223,3298.5471,3350.3022,3350.6819,3293.9683,3357.1979,-58.6508,-1.747,903652,3423279.9
399997.SZ,20161226,3309.972,3279.6691,3311.1242,3247.7459,3298.5471,11.4249,0.3464,765957,2754243.8
399997.SZ,20161227,3311.6444,3310.6386,3329.2582,3301.6713,3309.972,1.6724,0.0505,564682,2069278.9
399997.SZ,20161228,3299.5287,3312.1411,3318.1394,3294.8802,3311.6444,-12.1157,-0.3659,581011,2066969.1
399997.SZ,20161229,3309.8172,3296.5731,3318.0147,3285.4507,3299.5287,10.2885,0.3118,595388,2127975.2
399997.SZ,20161230,3380.6689,3318.094,3384.687,3317.5301,3309.8172,70.8517,2.1407,1232883,4222677.2
