date,time,open,high,low,close
20160610,100000,913.84003,916.02002,910.70001,911.41998
20160610,110000,911.37,915.66998,910.65002,914.46002
20160610,120000,913.95001,915.71002,913.73999,914.87
20160610,140000,914.15997,914.15997,911.54999,911.98999
20160610,150000,911.73999,914.83002,911.15002,911.63
20160610,160000,911.65002,912.79999,909.41998,909.41998
20160613,90000,901.98999,902.54999,901.98999,902.54999
20160613,100000,902.06,903.82001,898.48999,903.46997
20160613,110000,903.71997,903.95001,901.0,901.52002
20160613,120000,901.59003,902.03003,900.56,900.81
20160613,140000,900.4500099999998,902.96002,900.2000099999998,902.85999
20160613,150000,902.58002,906.14001,902.03998,903.33002
20160613,160000,902.59998,902.65997,900.4500099999998,902.39001
20160614,90000,902.29999,902.31,901.97998,901.97998
20160614,100000,902.13,908.02002,902.13,906.28003
20160614,110000,906.09998,907.10999,904.21002,906.63
20160614,120000,906.64001,907.76001,905.10999,907.76001
20160614,140000,906.21002,906.60999,903.71002,904.33002
20160614,150000,904.21997,905.59003,903.58002,904.15002
20160614,160000,904.77002,906.77002,903.95001,906.77002
20160615,90000,907.91998,908.73999,907.63,908.23999
20160615,100000,908.28003,908.53998,903.84003,905.28998
20160615,110000,905.14001,906.59003,903.84998,905.71002
20160615,120000,905.02002,906.41998,904.38,904.63
20160615,140000,907.16998,908.5,905.82001,906.41998
20160615,150000,905.66998,909.65002,905.35999,907.90002
20160615,160000,907.45001,913.04999,907.45001,911.40002
20160616,90000,905.92999,906.73999,904.20001,904.48999
20160616,100000,903.98999,904.42999,900.23999,901.5
20160616,110000,901.72998,902.62,896.19,897.62
20160616,120000,897.5200199999998,897.5200199999998,895.0800199999999,896.0200199999998
20160616,140000,895.7000099999998,896.7899800000001,894.0800199999999,895.9000199999998
20160616,150000,896.5200199999998,897.1799900000002,893.5300300000001,894.4199800000001
20160616,160000,894.10999,895.8400300000002,892.6799900000002,893.10999
20160617,90000,897.0,897.5999800000002,897.0,897.48999
20160617,100000,897.8499800000002,899.73999,894.0200199999998,894.0200199999998
20160617,110000,894.0300300000001,896.56,892.7999900000002,894.9199800000001
20160617,120000,894.9799800000002,895.62,893.5900300000002,893.75
20160617,140000,894.81,897.8200099999998,894.3200099999998,897.7899800000001
20160617,150000,897.2899800000001,900.13,896.4099699999998,899.7899800000001
20160617,160000,899.4699699999999,900.4799800000002,897.5,900.10999
20160620,90000,903.32001,904.02002,903.32001,904.02002
20160620,100000,904.28998,904.39001,899.7999900000002,901.34998
20160620,110000,901.28998,902.48999,899.0200199999998,899.7700199999998
20160620,120000,900.2700199999998,903.16998,900.2700199999998,901.58002
20160620,140000,902.28003,903.34998,900.38,900.38
20160620,150000,900.25,902.77002,899.89001,900.63
20160620,160000,900.37,901.84003,899.7000099999998,901.08002
20160621,90000,901.54999,902.71997,901.54999,901.73999
20160621,100000,901.60999,903.45001,900.0200199999998,902.56
20160621,110000,902.76001,906.83002,901.60999,906.52002
20160621,120000,906.72998,909.22998,905.78003,908.34998
20160621,140000,907.87,909.03003,906.72998,908.23999
20160621,150000,908.76001,908.76001,905.5,907.07001
20160621,160000,906.65002,908.28003,905.51001,907.65002
20160622,90000,907.96997,909.28003,907.96997,909.01001
20160622,100000,908.91998,909.91998,906.77002,907.73999
20160622,110000,907.70001,908.53998,905.73999,905.73999
20160622,120000,905.59998,906.82001,904.88,906.33002
20160622,140000,905.34003,907.59003,905.04999,907.59003
20160622,150000,906.85999,907.62,900.19,901.35999
20160622,160000,901.28003,903.33002,900.78003,902.26001
20160623,90000,902.22998,903.25,902.22998,903.25
20160623,100000,903.01001,903.01001,897.35999,897.64001
20160623,110000,897.7899800000001,900.5700099999998,896.75,899.7700199999998
20160623,120000,898.94,901.25,898.94,900.83002
20160623,140000,901.53003,902.35999,899.1500199999998,901.27002
20160623,150000,901.46002,905.95001,901.22998,905.95001
20160623,160000,906.26001,913.52002,905.27002,913.34998
20160624,90000,893.4199800000001,895.4699699999999,893.4199800000001,895.4699699999999
20160624,100000,894.5900300000002,896.6500199999998,880.2299800000002,884.0700099999998
20160624,110000,884.5900300000002,887.7199699999999,883.4799800000002,884.5900300000002
20160624,120000,884.5,884.75,881.0399800000001,882.2100199999999
20160624,140000,881.23999,888.39001,881.23999,887.7999900000002
20160624,150000,888.4099699999998,893.12,888.2000099999998,892.5700099999998
20160624,160000,892.48999,892.9000199999998,890.0800199999999,892.63
20160627,90000,890.4000199999998,890.9699699999999,890.31,890.7299800000002
20160627,100000,890.12,895.3499800000002,888.6799900000002,894.5300300000001
20160627,110000,894.7299800000002,895.5999800000002,892.2299800000002,893.94
20160627,120000,893.87,895.75,893.87,894.2299800000002
20160627,140000,896.2199699999999,899.75,896.2199699999999,898.48999
20160627,150000,898.5700099999998,900.0999800000002,895.6500199999998,897.64001
20160627,160000,897.44,898.5700099999998,896.7700199999998,897.23999
20160628,90000,898.6799900000002,898.6799900000002,898.13,898.5300300000001
20160628,100000,898.7999900000002,901.21997,896.7299800000002,898.56
20160628,110000,898.2800300000001,900.6799900000002,897.6699800000001,898.0200199999998
20160628,120000,898.0900300000002,900.1699800000001,897.2899800000001,899.5800199999999
20160628,140000,901.65997,905.16998,901.04999,904.46997
20160628,150000,904.12,905.87,902.21002,904.71002
20160628,160000,904.83002,905.12,903.40002,904.84998
20160629,90000,911.13,911.79999,910.88,911.51001
20160629,100000,911.90997,914.23999,910.91998,911.84003
20160629,110000,911.69,912.87,910.96002,912.46997
20160629,120000,912.33002,912.84003,910.65997,912.01001
20160629,140000,911.64001,913.59003,911.64001,912.83002
20160629,150000,912.66998,913.83002,908.57001,910.79999
20160629,160000,910.78998,913.59998,907.48999,908.89001
20160630,90000,914.96002,915.54999,914.89001,914.89001
20160630,100000,914.64001,915.33002,908.27002,908.67999
20160630,110000,909.07001,910.95001,906.97998,907.28998
20160630,120000,907.91998,907.91998,904.84003,907.46997
20160630,140000,905.91998,908.65997,905.53003,907.09998
20160630,150000,907.40997,909.39001,905.96997,907.97998
20160630,160000,908.47998,910.56,907.03998,910.56
20160704,90000,916.81,917.17999,916.78998,916.89001
20160704,100000,916.88,918.34003,915.59998,916.96002
20160704,110000,917.03003,917.33002,914.64001,916.59998
20160704,120000,916.46002,917.95001,915.33002,917.71997
20160704,140000,917.09998,919.70001,916.47998,919.21997
20160704,150000,919.27002,919.96997,917.47998,917.97998
20160704,160000,918.03003,919.01001,917.0,918.53998
20160705,90000,918.45001,918.76001,918.10999,918.33002
20160705,100000,918.45001,921.39001,918.25,920.71002
