Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-11-29,1091.6,1093.2,1084,1086.1,1086.4,-,-,9856,25120
2018-11-30,1088.1,1095,1082.6,1090.5,1089.9,3.5,0.32%,10343,25170
2018-12-03,1106,1120,1104.2,1119.7,1118.1,28.2,2.59%,16355,26247
2018-12-04,1117,1119,1114,1117.4,1117.2,-0.9,-0.08%,7755,26328
2018-12-06,1100.8,1103,1097.6,1098.1,1098.5,-18.7,-1.67%,14501,29881
2018-12-07,1101.5,1104.5,1094.5,1100.9,1099.8,1.3,0.12%,13595,32547
2018-12-11,1095,1095,1083.8,1085.5,1085.7,-14.1,-1.28%,17865,36629
2018-12-12,1091.2,1092.8,1084.5,1088.5,1088.2,2.5,0.23%,13243,39198
2018-12-13,1091.8,1092.1,1073,1075.2,1075,-13.2,-1.21%,19696,43364
2018-12-14,1068,1075,1063.8,1070.2,1069.6,-5.4,-0.50%,34640,54815
2018-12-17,1071.5,1074.3,1060.7,1066.2,1067,-2.6,-0.24%,25044,58494
2018-12-18,1061.5,1061.9,1051,1051.9,1052.2,-14.8,-1.39%,26273,64133
2018-12-19,1051.1,1068.2,1049,1066.7,1066.8,14.6,1.39%,40642,67253
2018-12-20,1060.5,1065.7,1054.3,1064.7,1064.8,-2,-0.19%,38463,75105
2018-12-21,1058.2,1071.2,1057.6,1060.2,1061.1,-3.7,-0.35%,96080,107548
2018-12-24,1060.9,1065.2,1053.2,1061.4,1060.8,-0.3,-0.03%,119237,166536
2018-12-25,1046,1047.9,1033.3,1033.6,1034,-26.8,-2.53%,133155,186345
2018-12-26,1035,1039,1029.3,1035.4,1035.2,1.2,0.12%,126345,206150
2018-12-27,1056,1060.3,1022.6,1023,1023.7,-11.5,-1.11%,235801,224342
2018-12-28,1030,1044,1028.5,1043.3,1043,19.3,1.89%,178992,219585
2019-01-02,1039,1047,1038.2,1042.7,1042.9,-0.1,-0.01%,145547,216987
2019-01-03,1049,1050,1031.2,1037,1037.1,-5.8,-0.56%,195252,206560
2019-01-04,1035.2,1049.7,1031.3,1047.4,1047.4,10.3,0.99%,199406,215540
2019-01-07,1055,1064.8,1053.1,1057.9,1058.1,10.7,1.02%,171976,214984
2019-01-08,1060,1063.4,1056.6,1061.9,1061.6,3.5,0.33%,144231,213851
2019-01-09,1069,1071.1,1055.7,1061.5,1061.4,-0.2,-0.02%,165304,216294
2019-01-10,1056.8,1064,1050.6,1058.2,1058.5,-2.9,-0.27%,188513,217118
2019-01-11,1062.5,1066.4,1057.3,1066,1065.9,7.4,0.70%,155531,217402
2019-01-14,1060,1061.2,1050,1050,1051.3,-14.6,-1.37%,132744,218033
2019-01-15,1055.7,1057.5,1047.1,1049.1,1049.5,-1.8,-0.17%,137896,221313
2019-01-16,1053,1056.5,1042,1051.9,1051.4,1.9,0.18%,193967,219303
2019-01-17,1049.4,1058.3,1049.4,1052.8,1052.6,1.2,0.11%,145820,218808
2019-01-18,1059.5,1060,1052.3,1056.1,1056.7,4.1,0.39%,142980,223617
2019-01-21,1058.5,1064.5,1057.5,1061.1,1061.1,4.4,0.42%,114640,218778
2019-01-22,1060.1,1071.1,1058.1,1070.9,1070.6,9.5,0.90%,149264,223966
2019-01-23,1069.4,1081.5,1068.2,1078,1077.7,7.1,0.66%,176848,230404
2019-01-24,1077.5,1083,1075,1078.3,1078.4,0.7,0.06%,132454,225816
2019-01-25,1082.2,1084,1077.1,1080.1,1080.1,1.7,0.16%,108037,230482
2019-01-28,1081.5,1084.9,1077,1078.7,1078.6,-1.5,-0.14%,111427,224100
2019-01-29,1076,1081.9,1073.9,1081.7,1081.6,3,0.28%,119002,232302
2019-01-30,1082,1088,1077.6,1087.8,1087.5,5.9,0.55%,108413,221310
2019-01-31,1091.4,1094.8,1088.4,1088.9,1088.8,1.3,0.12%,115708,223911
2019-02-01,1090,1097.9,1088.8,1096,1095.2,6.4,0.59%,109910,224030
2019-02-04,1097.8,1098.8,1094.4,1096,1095.9,0.7,0.06%,70533,212038
2019-02-05,1097.5,1098.7,1091.1,1095.4,1095.2,-0.7,-0.06%,87553,207727
2019-02-06,1096,1100.7,1093.8,1098.5,1098.3,3.1,0.28%,105276,213548
2019-02-07,1099,1102.9,1094,1096.8,1096.8,-1.5,-0.14%,137001,205117
2019-02-08,1093.9,1097.9,1085.6,1091.9,1093,-3.8,-0.35%,183888,208589
2019-02-11,1088.1,1089.9,1082.5,1086.7,1086.3,-6.7,-0.61%,133443,201853
2019-02-12,1086.9,1088.9,1082.8,1088.8,1088.5,2.2,0.20%,92207,204568
2019-02-13,1092.9,1098.4,1090.1,1097.4,1097.3,8.8,0.81%,121100,215639
2019-02-14,1097,1097.7,1092.5,1094.4,1094.4,-2.9,-0.26%,90567,215070
2019-02-15,1089.5,1089.7,1078.7,1080.5,1080.8,-13.6,-1.24%,160222,220046
2019-02-18,1085.5,1088.6,1080.6,1083.2,1083,2.2,0.20%,106813,217180
2019-02-20,1087,1090.9,1083.4,1087.5,1087.8,4.8,0.44%,137589,218223
2019-02-21,1087.9,1093.3,1087.6,1090.3,1090.2,2.4,0.22%,116540,221463
2019-02-22,1088,1103,1087.3,1102.3,1101.8,11.6,1.06%,164994,232524
