date,code,open,high,low,close,vol,PE,ROE,marketdays
2011-03-31,000016.SZ,51.17478239,51.37826065,49.64869544,49.85217370000001,13816570.000000002,55.86144256591797,-1.9436,6943
2011-04-01,000016.SZ,49.85217370000001,50.25913022000001,49.44521718000001,50.15739109,7446807.000000001,56.20344924926758,-1.9436,6944
2011-04-06,000016.SZ,49.95391283000001,50.66608674,49.75043457,50.56434761,8374725.999999999,56.659461975097656,-1.9436,6949
2011-04-07,000016.SZ,50.46260848,51.17478239,50.15739109,51.07304326,9968068.0,57.22947692871094,-1.9436,6950
2011-04-08,000016.SZ,50.97130413,51.78521717,50.66608674,51.58173891000001,14282671.0,57.79949188232422,-1.9436,6951
2011-04-11,000016.SZ,51.68347804,52.49739108000001,51.17478239,51.68347804,24189125.0,57.91349411010742,-1.9436,6954
2011-04-12,000016.SZ,51.68347804,53.41304325,51.68347804,53.31130412,39547833.0,59.73754119873047,-1.9436,6955
2011-04-13,000016.SZ,53.00608673,55.34608672000001,52.70086934,54.73565194,51842536.0,61.33358383178711,-1.9436,6956
2011-04-14,000016.SZ,54.73565194,56.26173889,53.71826064,55.14260846000001,39870640.0,61.78959274291992,-1.9436,6957
2011-04-15,000016.SZ,53.81999977,54.22695629,52.39565195000001,53.00608673,36142652.0,76.4693374633789,-1.9436,6958
2011-04-18,000016.SZ,52.70086934,54.22695629,52.59913021000001,53.31130412,21515982.0,76.90966033935547,-1.9436,6961
2011-04-19,000016.SZ,52.90434760000001,55.34608672000001,52.49739108000001,53.921738899999994,29815919.0,77.7903060913086,-1.9436,6962
2011-04-20,000016.SZ,53.41304325,54.02347803,52.90434760000001,53.10782586,15822057.999999998,76.6161117553711,-1.9436,6963
2011-04-21,000016.SZ,53.20956499000001,54.12521716000001,53.00608673,53.31130412,17764877.0,76.90966033935547,-1.9436,6964
2011-04-22,000016.SZ,53.31130412,53.41304325,52.39565195000001,52.49739108000001,14297925.0,75.73546600341797,-1.9436,6965
2011-04-25,000016.SZ,52.39565195000001,53.51478238,52.29391282,52.49739108000001,14809509.0,75.73546600341797,-1.9436,6968
2011-04-26,000016.SZ,51.886956299999994,51.98869543000001,50.36086935,50.46260848,14689375.0,72.79998779296875,-1.9436,6969
2011-04-27,000016.SZ,50.46260848,51.27652152,49.44521718000001,49.95391283000001,10326477.0,72.06611633300781,-1.9436,6970
2011-04-28,000016.SZ,50.15739109,50.36086935,47.8173911,47.91913023,12521730.0,-198.69085693359372,-1.9436,6971
2011-04-29,000016.SZ,47.91913023,48.52956501,47.30869545000001,48.52956501,6653523.0,-201.22195434570312,-1.9436,6972
2011-05-03,000016.SZ,48.52956501,49.03826066000001,48.02086936,49.03826066000001,4702812.0,-203.3311920166016,-1.9436,6976
2011-05-04,000016.SZ,49.03826066000001,49.03826066000001,46.69826067,47.20695632,10260393.0,-195.7379150390625,-1.9436,6977
2011-05-05,000016.SZ,47.20695632,49.54695631000001,47.10521719000001,49.13999979000001,9690860.0,-203.7530517578125,-1.9436,6978
2011-05-06,000016.SZ,48.834782399999995,49.44521718000001,48.22434762,48.73304327,10677230.0,-202.06564331054688,-1.9436,6979
2011-05-09,000016.SZ,48.63130414000001,49.03826066000001,48.42782588,48.73304327,5340618.0,-202.06564331054688,-1.9436,6982
2011-05-10,000016.SZ,48.834782399999995,48.93652153,47.61391284,48.52956501,5222306.0,-201.22195434570312,-1.9436,6983
2011-05-11,000016.SZ,48.52956501,49.75043457,48.12260849000001,49.03826066000001,8989873.0,-203.3311920166016,-1.9436,6984
2011-05-12,000016.SZ,48.42782588,49.13999979000001,48.12260849000001,48.12260849000001,6243425.0,-199.53456115722656,-1.9436,6985
2011-05-13,000016.SZ,48.02086936,48.52956501,47.61391284,48.42782588,5493473.0,-200.80010986328125,-1.9436,6986
2011-05-16,000016.SZ,48.42782588,49.24173892,48.32608675,48.93652153,7215108.0,-202.9093475341797,-1.9436,6989
